,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,test_id
403,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00336_test.json
404,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00335_test.json
405,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00334_test.json
406,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00333_test.json
407,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00332_test.json
408,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00331_test.json
409,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00330_test.json
410,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00329_test.json
411,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00328_test.json
412,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00327_test.json
413,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00326_test.json
414,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00325_test.json
415,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00324_test.json
416,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00323_test.json
417,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00322_test.json
418,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00321_test.json
419,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00320_test.json
420,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00319_test.json
421,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00318_test.json
422,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00317_test.json
423,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00316_test.json
424,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00315_test.json
425,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00314_test.json
426,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00313_test.json
427,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00312_test.json
428,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00311_test.json
429,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00310_test.json
430,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00309_test.json
431,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00308_test.json
432,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00307_test.json
433,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00306_test.json
434,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00305_test.json
435,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00304_test.json
436,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00303_test.json
437,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00302_test.json
438,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00301_test.json
439,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00300_test.json
440,849.9393389526933,9020.005217378195,7.076619916524624,4718.564466799241,0.6703867562069293,1449.3215130881372,1002.2228019309106,0.0,0.0,-7.20488038432018,0.0,2,1,6,2857.2629456814598,NOT_EXECUTED,4.29586833749694,2179.9782027572865,,6.033480805862364,destHigh5\00299_test.json
441,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00298_test.json
442,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00297_test.json
443,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00296_test.json
444,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00295_test.json
445,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00294_test.json
446,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00293_test.json
447,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00292_test.json
448,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00291_test.json
449,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00290_test.json
450,849.9393389526933,9020.005217378195,7.076619916524624,4718.564466799241,0.6703867562069293,1449.3215130881372,1002.2228019309106,0.0,0.0,-7.20488038432018,0.0,2,1,6,2857.2629456814598,NOT_EXECUTED,4.29586833749694,2179.9782027572865,,6.033480805862364,destHigh5\00289_test.json
