Instances,feature_avg_Segment_length,feature_direct_distance,feature_full_road_diversity,feature_max_angle,feature_max_pivot_off,feature_mean_angle,feature_mean_pivot_off,feature_mean_road_diversity,feature_median_angle,feature_median_pivot_off,feature_min_angle,feature_min_pivot_off,feature_num_l_turns,feature_num_r_turns,feature_num_straights,feature_road_distance,feature_std_angle,feature_std_pivot_off,feature_total_angle,algo_safety
238,0.12005755445616628,0.6740050785367868,0.20799105722570027,0.2094622355749102,0.1469977961155781,0.2250927406401322,0.1534657227117792,0.09497997261150787,0.1366634425975328,0.18675095226991614,0.6812471441641866,0.0,0.3333333333333333,0.6666666666666666,0.25,0.6665538302778864,0.12059643019474055,0.11149562742490142,0.2855854865381191,1
239,0.008685314875143152,0.2897560305894346,0.10044330234918403,0.11470334337745097,0.08952168633092794,0.17795178598528744,0.036594971814194556,0.039723738687009735,0.16985294355354272,0.0,0.563272263117399,0.0,0.0,0.3333333333333333,0.75,0.27779031818043476,0.08042303162756509,0.07226030124106918,0.20586268564678592,0
240,0.05831515525389158,0.07240870395612048,0.2056835944711965,0.6570287008402861,0.03795620706850637,0.6558903878412647,0.044544220549842715,0.20641120354795858,0.6376205316057748,0.044544220549842715,0.5884070675446558,0.034327369442526415,0.3333333333333333,0.3333333333333333,0.0,0.08804192408502343,0.6632322028840143,0.02446124299454184,0.6496890208441956,0
241,0.058116746038482214,0.09706886970619039,0.08530210667486533,0.924082635909914,0.03752504333472495,0.9029292833468918,0.039836152915319244,0.08271122194461109,0.897775495207111,0.039836152915319244,0.5853942764460079,0.023262422787070743,0.3333333333333333,0.3333333333333333,0.0,0.08769563373607642,0.9317939224517737,0.03005051413457459,0.8585799186103688,0
242,0.4997134299031672,0.8878062123707351,0.9435105660596463,0.16470634345973495,0.43528636353882805,0.25241825017677577,0.5544772688590682,0.9645774671711469,0.21272679544564235,0.5544772688590682,0.7561102466462176,0.5045311080151598,0.3333333333333333,0.3333333333333333,0.0,0.8584293389918126,0.11209006610758493,0.21959382857939788,0.3085214614286284,1
243,0.05791303139702167,0.10092367947451947,0.007179139379649259,0.9490713385259193,0.011175757796379138,1.0,0.009136926667107843,0.0024346794784889172,0.9999999999999999,0.009136926667107843,0.8159357774608301,0.0,0.3333333333333333,0.0,0.25,0.08734008364667434,0.8771490961355477,0.01275743875825671,0.9406608763760324,0
244,0.49953012413898973,0.8925375582809958,0.16744049668091618,0.12710412213610284,0.9285413436164426,0.21720823396098204,0.9561935033505677,0.16711387818912654,0.17564736927563007,0.9561935033505677,0.7552048867675549,0.5005869105897747,0.3333333333333333,0.3333333333333333,0.0,0.8581094092097706,0.07473505493709429,0.7848259136006083,0.27874861176208215,1
245,0.12005755445616628,0.6740050785367868,0.20799105722570027,0.2094622355749102,0.1469977961155781,0.2250927406401322,0.1534657227117792,0.09497997261150787,0.1366634425975328,0.18675095226991614,0.6812471441641866,0.0,0.3333333333333333,0.6666666666666666,0.25,0.6665538302778864,0.12059643019474055,0.11149562742490142,0.2855854865381191,1
246,0.008685314875143152,0.2897560305894346,0.10044330234918403,0.11470334337745097,0.08952168633092794,0.17795178598528744,0.036594971814194556,0.039723738687009735,0.16985294355354272,0.0,0.563272263117399,0.0,0.0,0.3333333333333333,0.75,0.27779031818043476,0.08042303162756509,0.07226030124106918,0.20586268564678592,0
247,0.05831515525389158,0.07240870395612048,0.2056835944711965,0.6570287008402861,0.03795620706850637,0.6558903878412647,0.044544220549842715,0.20641120354795858,0.6376205316057748,0.044544220549842715,0.5884070675446558,0.034327369442526415,0.3333333333333333,0.3333333333333333,0.0,0.08804192408502343,0.6632322028840143,0.02446124299454184,0.6496890208441956,0
248,0.058116746038482214,0.09706886970619039,0.08530210667486533,0.924082635909914,0.03752504333472495,0.9029292833468918,0.039836152915319244,0.08271122194461109,0.897775495207111,0.039836152915319244,0.5853942764460079,0.023262422787070743,0.3333333333333333,0.3333333333333333,0.0,0.08769563373607642,0.9317939224517737,0.03005051413457459,0.8585799186103688,0
249,0.4997134299031672,0.8878062123707351,0.9435105660596463,0.16470634345973495,0.43528636353882805,0.25241825017677577,0.5544772688590682,0.9645774671711469,0.21272679544564235,0.5544772688590682,0.7561102466462176,0.5045311080151598,0.3333333333333333,0.3333333333333333,0.0,0.8584293389918126,0.11209006610758493,0.21959382857939788,0.3085214614286284,1
250,0.05791303139702167,0.10092367947451947,0.007179139379649259,0.9490713385259193,0.011175757796379138,1.0,0.009136926667107843,0.0024346794784889172,0.9999999999999999,0.009136926667107843,0.8159357774608301,0.0,0.3333333333333333,0.0,0.25,0.08734008364667434,0.8771490961355477,0.01275743875825671,0.9406608763760324,0
251,0.49953012413898973,0.8925375582809958,0.16744049668091618,0.12710412213610284,0.9285413436164426,0.21720823396098204,0.9561935033505677,0.16711387818912654,0.17564736927563007,0.9561935033505677,0.7552048867675549,0.5005869105897747,0.3333333333333333,0.3333333333333333,0.0,0.8581094092097706,0.07473505493709429,0.7848259136006083,0.27874861176208215,1
