Instances,feature_avg_Segment_length,feature_full_road_diversity,feature_std_pivot_off,feature_total_angle,algo_safety
44,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
45,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
46,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
47,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
48,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
49,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
50,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
51,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
52,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
53,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
54,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
55,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
56,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
57,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
58,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
59,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
60,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
61,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
62,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
63,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
64,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
65,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
66,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
67,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
68,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
69,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
70,0.05802791312632938,0.09300044038934194,0.027138295950564828,0.7401441276798074,0
71,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
72,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
73,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
74,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
75,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
76,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
77,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
78,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
79,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
80,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
81,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
82,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
83,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
84,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
85,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
86,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
87,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
88,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
89,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
90,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
91,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
92,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
93,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
94,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
95,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
96,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,1
97,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
98,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
99,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
100,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
101,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
102,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
103,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,1
104,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
105,0.4997601856605714,0.34325465785516024,0.8603276846792902,0.2762975987715595,1
106,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
107,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
108,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
109,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
110,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
111,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
112,0.07027920443811186,0.07628687511596335,0.04070709351706506,0.9243436666363442,0
113,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
114,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
115,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
116,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
117,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
118,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
119,0.07027920443811186,0.07628687511596335,0.04070709351706506,0.9243436666363442,0
120,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
121,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
122,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
123,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
124,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
125,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
