Instances,feature_num_r_turns,feature_total_angle,feature_mean_pivot_off,feature_std_pivot_off,feature_min_pivot_off,feature_duration_seconds,algo_safety
209,0.33333333333333337,0.49491525423728816,0.20031397174254317,0.33743347282074554,0.0,0.12385246324464161,0
210,0.41666666666666663,0.32881355932203393,0.5207100591715977,0.30204135602412374,0.5,0.5396650285215363,1
211,0.5,0.3898305084745763,0.6189010989010987,0.4792506837524755,1.0000000000000002,0.6218338569031057,1
212,0.5833333333333334,0.46779661016949153,0.5915966386554622,0.5650033081038361,0.0,0.600608082478773,1
213,0.75,0.6542372881355931,0.2832025117739403,0.35698073247390627,0.0,0.1789297703802376,0
214,0.6666666666666666,0.7627118644067796,0.2935635792778649,0.3482518168579183,0.0,0.8333903254985655,1
215,0.6666666666666666,0.33559322033898303,0.4412087912087911,0.44376425138688735,0.5,0.5722681520592481,1
216,0.5,0.33559322033898303,0.3246467817896389,0.4967891546562353,0.0,0.3130042269025348,0
218,0.33333333333333337,0.26101694915254237,0.4659340659340657,0.7253704453969523,0.0,0.4806903618175521,0
219,0.41666666666666663,0.46779661016949153,0.2852747252747253,0.4936564126484462,0.0,0.24145774619222526,0
220,0.24999999999999997,0.39999999999999997,0.7313186813186813,0.5284660313226868,0.5,0.5138186610024515,1
221,0.5,0.42372881355932207,0.4448351648351646,0.6342852578629112,0.0,0.5068261582087212,0
222,0.6666666666666666,0.8271186440677967,0.34725274725274713,0.44156678781080005,0.0,0.2703006977427235,0
223,0.41666666666666663,0.5457627118644068,0.4684065934065934,0.7065945196310448,0.0,0.7087199367420831,1
224,0.6666666666666666,0.32542372881355935,0.33241758241758235,0.24531697332194158,0.0,0.6951041730915308,1
225,0.24999999999999997,0.39661016949152544,0.7494505494505491,0.35252658911394197,1.0000000000000002,0.49021409455901455,1
226,0.5,0.3220338983050848,0.4956043956043955,0.5218768205526105,0.0,0.33619541716571666,0
227,0.24999999999999997,0.5084745762711864,0.7048182586644124,0.6607399356705541,0.0,0.61266354768658,1
228,0.8333333333333334,0.6677966101694914,0.38681318681318677,0.4800662774694682,0.0,0.49512319888316747,0
229,0.5833333333333334,0.4135593220338983,0.5228021978021976,0.5794307134106005,0.5,0.19661005750801142,0
230,0.5833333333333334,0.48135593220338985,0.2972204266321914,0.40684387047330217,0.0,0.5572282288126298,0
231,0.5833333333333334,0.7186440677966102,0.4303296703296703,0.29280420419562514,0.5,0.7377246118912202,1
232,0.5833333333333334,0.34915254237288135,0.5318681318681316,0.6719697800414226,0.0,0.2566663846007847,0
233,0.33333333333333337,0.46779661016949153,0.5422291993720564,0.31913424207236296,0.5,0.7197378102585414,1
234,0.6666666666666666,0.41016949152542376,0.47640594699418226,0.48226134943004606,0.0,0.6115625949528034,0
235,0.16666666666666666,0.3186440677966102,0.6914285714285714,0.23323196265578683,1.0000000000000002,0.6584302555182604,1
236,0.16666666666666666,0.16271186440677965,0.713186813186813,0.5165189608209471,0.5,0.48697068649439057,1
237,0.16666666666666666,0.26440677966101694,0.556043956043956,0.3912064502679189,0.5,0.5257205084553236,1
238,0.33333333333333337,0.4135593220338983,0.6546069315300084,0.36535870790606917,0.0,0.6397952267242717,1
239,0.5,0.4169491525423729,0.2852747252747253,0.3863695289723976,0.0,0.5075214473305107,1
240,0.5833333333333334,0.3186440677966102,0.37230769230769223,0.6877950783671689,0.0,0.635514904275994,1
241,0.5833333333333334,0.5016949152542374,0.4252100840336134,0.5197014156258724,0.0,0.08856449200426242,0
242,0.75,0.8,0.21653129479216426,0.5413043613227924,0.0,0.028516685879264148,0
243,0.41666666666666663,0.3898305084745763,0.3557299843014128,0.36249626997353235,0.0,0.5934424074014959,1
244,0.24999999999999997,0.26101694915254237,0.7784615384615384,0.4233253805732258,0.5,0.6360421773921725,1
245,0.41666666666666663,0.3389830508474576,0.4872358410819947,0.7789198872032723,0.0,0.47009700728536175,1
