Instances,feature_direct_distance,feature_median_pivot_off,feature_min_angle,feature_num_r_turns,feature_road_distance,feature_std_pivot_off,feature_total_angle,feature_uturns,algo_safety
80,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
81,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
82,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
83,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
84,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
85,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
86,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
87,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
88,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
89,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
90,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
91,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
92,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
93,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
94,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
95,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
96,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
97,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
98,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
99,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
100,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
101,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
102,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
103,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
104,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
105,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
106,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
107,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
108,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
109,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
110,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
111,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
112,0.30787667862030876,0.5752468861539592,0.9009157781567363,0.8,0.4350578053001286,1.0000000000000002,0.9233473933485571,0.0,0
113,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
114,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
115,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
116,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
117,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
118,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
119,0.5810117876076549,0.530948192492722,0.02066569495915127,0.6000000000000001,0.5887291426234118,0.010935375561296617,0.6382389847335819,0.0,0
120,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
121,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
122,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
123,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
